job_title;company;location;salary_preview;date_posted_relative;url;short_description
;ATLAS-Dolmetscherdienste;Frankfurt am Main;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/atlas-dolmetscherdienste-5000078/jobs;
;]init[ Aktiengesellschaft für digitale Kommunikation;Köln;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/%5dinit%5b-aktiengesellschaft-f%c3%bcr-digitale-kommunikation-5000781/jobs;
;HELL GmbH & Co. KG;Krefeld;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/hell-gmbh-%26-co-kg-5005693/jobs;
;ECOSPHERE Automation GmbH;Fichtenau;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/ecosphere-automation-gmbh-5045304/jobs;
;Qestit AG;Munich;;vor 4 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/qestit-ag-5004077/jobs;
;Greenfield Technology AG;Düsseldorf;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/greenfield-technology-ag-5020197/jobs;
;SPIRIT-ONSIDE Consulting GmbH;Munich;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/spirit-onside-consulting-gmbh-5017139/jobs;
;mgm technology partners GmbH;Bamberg, Köln, Leipzig;;vor 2 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/mgm-technology-partners-gmbh-58948/jobs;
;Bloomwell Group GmbH;Office Frankfurt;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/bloomwell-group-gmbh-5002759/jobs;
;CPU Consulting & Software GmbH;Munich;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/cpu-consulting-%26-software-gmbh-5001303/jobs;
;SPIRIT-TESTING Software & Services GmbH;München, Deutschland;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/spirit-testing-software-%26-services-gmbh-5012585/jobs;
;conet Deutschland GmbH;Bonn, Berlin, Frankfurt am Main, Düsseldorf, Garching, Koblenz, Karlsruhe, Augsburg;;vor 3 Wochen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/conet-deutschland-gmbh-239/jobs;
;Cordes & Graefe KG;Stuhr;;vor 2 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/cordes-%26-graefe-kg-286953/jobs;
;GTK Kröger Steuerberater PartGmbB;Bielefeld;;vor 14 Stunden;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/gtk-kr%c3%b6ger-steuerberater-partgmbb-5001327/jobs;
;UNIFITS GmbH;Munich;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/unifits-gmbh-5020195/jobs;
;GTK Kröger Steuerberater PartGmbB;Bielefeld;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/gtk-kr%c3%b6ger-steuerberater-partgmbb-5001327/jobs;
;Radwell International Germany GmbH;Baden-Württemberg, NRW, Bayern, Österreich;;vor 1 Tag;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/radwell-international-germany-gmbh-172286/jobs;
;HENSOLDT;Ulm;;vor 1 Woche;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/hensoldt-173428/jobs;
;Paychex Europe Germany GmbH;Remote, bundesweit;;vor 1 Stunde;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/paychex-europe-germany-gmbh-40196/jobs;
;OEDIV Oetker Daten- und Informationsverarbeitung KG;Bielefeld;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/oediv-oetker-daten-und-informationsverarbeitung-kg-119928/jobs;
;Stadt Nürnberg;Nürnberg;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/stadt-n%c3%bcrnberg-88764/jobs;
;GELITA AG;Eberbach;;vor 3 Tagen;https://www.stepstone.dehttps://www.stepstone.de/cmp/de/gelita-ag-82109/jobs;
StepStone;Unknown;;;;https://www.stepstone.de/;
Neuer als 24h;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bage%3bage_1&ag=age_1;
Teilweise Home-Office;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bworkFromHome%3b2&wfh=2;
Auf Unternehmenswebsite;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bapplicationMethod%3bEXTERNAL&am=EXTERNAL;
Deutsch;Unknown;;;;https://www.stepstone.dehttps://www.stepstone.de/jobs/automation-specialist/in-deutschland?radius=30&action=facet_selected%3bdetectedLanguages%3bde&fdl=de;
