City,Latitude,Longitude
Sachsen-Anhalt,51.9280976,11.6812243
Sachsenhausen,50.1002618,8.6835988
Schwaben,48.1531313,10.471291
Schwarzwald,48.2634439,8.1647488
St. Lorenz Nord,53.882565,10.5993784
Taunus,50.2743305,8.1445068
Thüringen,50.9014721,11.0377839
Unknown,52.4975373,13.4188008
Unterfranken,50.0226188,9.8917926
Vogtland,50.5433275,12.0274781
Waschenbach,49.8045761,8.7079528
Westerwald,50.5573089,7.7732177
Westfalen,51.4789205,7.5543751
Wollbach,50.3657224,10.2232829
Württemberg,48.3366504,9.0994058
Zentrum-Ost,51.3458912,12.3864781
Dreißigacker,50.5587594,10.3838608
Iller,47.887527,10.1569032
Kreis Pinneberg,53.7234046,9.7814573
Niederelbe,53.6607667,8.9707476
Oberbayern,48.2405833,11.9699152
Oberpfalz,49.4131419,12.1363161
Pfalz,49.3661829,7.9486607
Rems,48.7915656,9.6488989
Sieg,50.7865007,7.6681686
Hagen,51.3582945,7.473296
Kolbermoor,47.8556623,12.0595795
Meitingen,48.5455295,10.8523018
Meppen,52.6947452,7.2909824
Merzig,49.4427023,6.6374902
Rottweil,48.1678244,8.626979
Rülzheim,49.1539607,8.2911891
Salzgitter,52.1503721,10.3593147
Ascheberg,54.1483357,10.3423409
Bad Salzuflen,52.0771518,8.7554739
Bad Waldsee,47.9209556,9.7542772
Böblingen,48.684969,9.0113444
Donauwörth,48.7180364,10.7807299
Ellwangen (Jagst),48.9615975,10.131975
Eschweiler,50.8175029,6.2630894
Forchheim,49.7200789,11.05792
Gersthofen,48.4248151,10.8778564
Kabelsketal,51.4375947,12.1050069
Kronshagen,54.3316362,10.0850663
Kölleda,51.1880844,11.2443392
Lingen (Ems),52.5224659,7.316584
Markdorf,47.7206084,9.3917257
Neubiberg,48.0769935,11.6615136
Niederelbert,50.4089374,7.8119641
Pilsach,49.3216533,11.5030806
Remagen,50.5792112,7.2286788
Schwäbisch Gmünd,48.7999036,9.7977584
Sengenthal,49.2317332,11.4611944
Wildberg,53.6530029,13.1232854
Witten,51.4370171,7.335124
